Collection Date,Site,Replicate,Grain Size,Sediment Weight (g),total count,Fishing
9/10/23,Trapdoor,1,1,37.67,0,none
9/10/23,Trapdoor,2,1,NA,NA,none
9/10/23,Trapdoor,3,1,28.78,3,none
9/10/23,Mary,1,2,38.58,0,high
9/10/23,Mary,2,1,21.01,6,high
9/10/23,Mary,3,2,24.7,1,high
9/10/23,Crystal,1,2,43.78,0,intermediate
9/10/23,Crystal,2,2,41.76,1,intermediate
9/10/23,Crystal,3,2,36.26,1,intermediate
9/10/23,Marmot,1,1,40.96,0,none
9/10/23,Marmot,2,1,48.05,0,none
9/10/23,Marmot,3,1,40.73,1,none
9/5/23,Convict R.Trail - Stop1,1,4,10.32,3,high
9/5/23,Convict R.Trail - Stop1,2,4,1.4,2,high
9/5/23,Convict Shoreline,1,4,3.71,10,high
9/5/23,Convict Shoreline,2,3,3.67,3,high
